rank,raw_score,normalized_score,robust_normalized_score,matched,posthoc_class,match_distance_vox
44,936.55725,0.0022350026,0.09778478,True,1avo,2.773872820287313
45,902.5128,0.002153759,0.09423025,False,unmatched,
46,891.07605,0.0021264663,0.093036145,True,1e9r,8.591452210157799
47,838.0029,0.0019998124,0.08749485,True,1fpy,8.256536819153297
48,832.8439,0.0019875008,0.086956196,False,unmatched,
49,830.30164,0.001981434,0.08669077,True,1avo,2.4053744692759293
50,822.17944,0.001962051,0.085842736,True,1oao,5.52985677072981
51,791.0692,0.0018878096,0.08259456,True,1fzg,6.887531153740773
52,790.45215,0.0018863371,0.08253013,False,unmatched,
53,752.9398,0.0017968175,0.07861351,False,unmatched,
54,728.8447,0.001739317,0.07609778,False,unmatched,
55,707.7615,0.0016890038,0.0738965,False,unmatched,
56,691.3563,0.0016498545,0.07218366,False,unmatched,
57,674.0277,0.0016085014,0.0703744,False,unmatched,
58,654.8141,0.00156265,0.06836833,False,unmatched,
59,651.7379,0.001555309,0.06804715,False,unmatched,
60,638.26904,0.0015231669,0.06664088,True,1jz8,9.489106920138893
61,636.0581,0.0015178907,0.06641004,False,unmatched,
62,626.235,0.0014944487,0.06538442,False,unmatched,
63,608.43567,0.0014519724,0.06352601,False,unmatched,
64,571.6028,0.0013640743,0.05968034,False,unmatched,
65,553.2777,0.0013203433,0.05776704,False,unmatched,
66,548.0405,0.0013078453,0.05722023,True,1avo,4.3464545273725514
67,510.90015,0.0012192135,0.05334245,False,unmatched,
68,482.8119,0.0011521835,0.05040979,False,unmatched,
69,478.13757,0.0011410287,0.04992175,False,unmatched,
70,477.31433,0.0011390642,0.049835797,False,unmatched,
71,454.83923,0.0010854296,0.0474892,False,unmatched,
72,445.09436,0.0010621743,0.046471752,False,unmatched,
73,429.1599,0.0010241483,0.044808056,False,unmatched,
74,427.75488,0.0010207953,0.044661358,False,unmatched,
75,425.9287,0.0010164374,0.04447069,False,unmatched,
